order,"product id","product name",quantity,price,subtotal
2567892,153,"Breadboarding wire bundle",1,4.9500,4.95
2567892,239,"Full Sized Premium Breadboard   830 Tie Points",1,5.9500,5.95
2567892,1754,"Adafruit Assembled Pi T Cobbler Breakout for Raspberry Pi",1,6.9500,6.95
2567892,4354,"Adafruit Perma Proto 40 Pin Raspberry Pi Breadboard PCB Kit",1,7.9500,7.95
2567892,4886,"Adafruit AW9523 GPIO Expander and LED Driver Breakout",1,4.9500,4.95
2596354,431,"Tiny Modular Snap Boxes   SMD component storage   10 pack",1,3.9500,3.95
2596354,432,"Small Modular Snap Boxes   SMD component storage   3 pack",1,2.9500,2.95
2596354,433,"Medium Modular Snap Boxes   SMD component storage   2 pack",1,2.9500,2.95
2596354,434,"Large Modular Snap Box   SMD component storage",1,1.9500,1.95
2596354,1399,"RGB 7 Segment Digit   1"" Tall Digit",1,14.9500,14.95
2596354,4042,"Diffused Red and Green Indicator LED   18mm Round",2,1.5000,3
2599853,50,"Adafruit METRO 328 Fully Assembled   Arduino IDE compatible",1,17.5000,17.5
2599853,2028,"Assembled Pi T Cobbler Plus   GPIO Breakout",1,7.9500,7.95
2599853,3333,"Circuit Playground Express",1,24.9500,24.95
2599853,3915,"Adafruit Circuit Playground Express or Bluefruit Enclosure",1,4.9500,4.95
2599853,4042,"Diffused Red and Green Indicator LED   18mm Round",1,1.5000,1.5
2599853,4154,"Break away 0.1"" 36 pin strip male header   Rainbow Combo 10 Pack",1,4.9500,4.95
2599853,4160,"20 pin 0.1"" Female Headers   Rainbow Color Mix   5 pack",1,2.5000,2.5
2600583,2028,"Assembled Pi T Cobbler Plus   GPIO Breakout",1,7.9500,7.95
2600583,3333,"Circuit Playground Express",1,24.9500,24.95
2600583,3505,"Adafruit METRO M0 Express   designed for CircuitPython",1,24.9500,24.95
2600583,3915,"Adafruit Circuit Playground Express or Bluefruit Enclosure",1,4.9500,4.95
2600583,4042,"Diffused Red and Green Indicator LED   18mm Round",1,1.5000,1.5
2600583,4154,"Break away 0.1"" 36 pin strip male header   Rainbow Combo 10 Pack",1,4.9500,4.95
2600583,4160,"20 pin 0.1"" Female Headers   Rainbow Color Mix   5 pack",1,2.5000,2.5
2600583,4209,"STEMMA QT / Qwiic JST SH 4 pin to Premium Male Headers Cable",1,0.9500,0.95
2600583,4210,"STEMMA QT / Qwiic JST SH 4 pin Cable   100mm Long",1,0.9500,0.95
2600583,4286,"Adafruit DS3502 I2C Digital 10K Potentiometer Breakout",1,4.9500,4.95
2600583,4600,"Adafruit QT Py   SAMD21 Dev Board with STEMMA QT",1,7.5000,7.5
2600583,4763,"GD25Q16   2MB SPI Flash in 8 Pin SOIC package",1,1.2500,1.25
2604757,356,"Breadboard trim potentiometer",1,1.2500,1.25
2604757,373,"Breadboard friendly 2.1mm DC barrel jack",2,0.9500,1.9
2604757,434,"Large Modular Snap Box   SMD component storage",2,1.9500,3.9
2604757,758,"Premium Male/Male Jumper Wires   40 x 6"" (150mm)",1,3.9500,3.95
2604757,805,"Breadboard friendly SPDT Slide Switch",2,0.9500,1.9
2604757,1009,"Colorful Round Tactile Button Switch Assortment   15 pack",1,5.9500,5.95
2604757,1010,"Colorful 12mm Square Tactile Button Switch Assortment   15 pack",1,5.9500,5.95
2604757,1119,"Tactile Switch Buttons (12mm square, 6mm tall) x 10 pack",1,2.5000,2.5
2604757,1265,"Yellow 7 segment clock display   1.2"" digit height",1,7.5000,7.5
2604757,1592,"Short Wire Alligator Clip Test Lead (set of 12)",1,3.9500,3.95
2604757,1609,"Adafruit Perma Proto Half sized Breadboard PCB   Single",1,4.5000,4.5
2604757,1683,"On Off Power Button / Pushbutton Toggle Switch",1,1.9500,1.95
2604757,2046,"Potentiometer Knob   Soft Touch T18   Red",1,0.5000,0.5
2604757,2047,"Potentiometer Knob   Soft Touch T18   White",1,0.5000,0.5
2604757,3217,"Maker Paste   Low Temperature Lead Free Prototyping Solder Paste",1,6.9500,6.95
2604757,3255,"Small Alligator Clip to Male Jumper Wire Bundle   12 Pieces",1,7.9500,7.95
2604757,3885,"Adafruit STEMMA Speaker   Plug and Play Audio Amplifier",1,5.9500,5.95
2604757,3893,"STEMMA JST PH 2mm 3 Pin to Male Header Cable   200mm",1,1.2500,1.25
2604757,4030,"JST PH 2mm 3 pin Plug to Color Coded Alligator Clips Cable",1,1.9500,1.95
2604757,4042,"Diffused Red and Green Indicator LED   18mm Round",1,1.5000,1.5
2604757,4046,"JST PH 2mm 3 Pin Socket to Color Coded Cable   200mm",1,0.9500,0.95
2604757,4209,"STEMMA QT / Qwiic JST SH 4 pin to Premium Male Headers Cable",2,0.9500,1.9
